,Store,Date,Year,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,Week_Sales,Type,Size,timeDiff,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5
1,1,2/5/10,2010,42.31,2.572,211.0963582,8.106,FALSE,1643690.9,A,151315,35,NA,NA,NA,NA,NA
2,1,2/12/10,2010,38.51,2.548,211.2421698,8.106,TRUE,1641957.44,A,151315,42,NA,NA,NA,NA,NA
3,1,2/19/10,2010,39.93,2.514,211.2891429,8.106,FALSE,1611968.17,A,151315,49,NA,NA,NA,NA,NA
4,1,2/26/10,2010,46.63,2.561,211.3196429,8.106,FALSE,1409727.59,A,151315,56,NA,NA,NA,NA,NA
5,1,3/5/10,2010,46.5,2.625,211.3501429,8.106,FALSE,1554806.68,A,151315,63,NA,NA,NA,NA,NA
6,1,3/12/10,2010,57.79,2.667,211.3806429,8.106,FALSE,1439541.59,A,151315,70,NA,NA,NA,NA,NA
7,1,3/19/10,2010,54.58,2.72,211.215635,8.106,FALSE,1472515.79,A,151315,77,NA,NA,NA,NA,NA
8,1,3/26/10,2010,51.45,2.732,211.0180424,8.106,FALSE,1404429.92,A,151315,84,NA,NA,NA,NA,NA
9,1,4/2/10,2010,62.27,2.719,210.8204499,7.808,FALSE,1594968.28,A,151315,91,NA,NA,NA,NA,NA
10,1,4/9/10,2010,65.86,2.77,210.6228574,7.808,FALSE,1545418.53,A,151315,98,NA,NA,NA,NA,NA
11,1,4/16/10,2010,66.32,2.808,210.4887,7.808,FALSE,1466058.28,A,151315,105,NA,NA,NA,NA,NA
12,1,4/23/10,2010,64.84,2.795,210.4391228,7.808,FALSE,1391256.12,A,151315,112,NA,NA,NA,NA,NA
13,1,4/30/10,2010,67.41,2.78,210.3895456,7.808,FALSE,1425100.71,A,151315,119,NA,NA,NA,NA,NA
14,1,5/7/10,2010,72.55,2.835,210.3399684,7.808,FALSE,1603955.12,A,151315,126,NA,NA,NA,NA,NA
15,1,5/14/10,2010,74.78,2.854,210.3374261,7.808,FALSE,1494251.5,A,151315,133,NA,NA,NA,NA,NA
16,1,5/21/10,2010,76.44,2.826,210.6170934,7.808,FALSE,1399662.07,A,151315,140,NA,NA,NA,NA,NA
17,1,5/28/10,2010,80.44,2.759,210.8967606,7.808,FALSE,1432069.95,A,151315,147,NA,NA,NA,NA,NA
18,1,6/4/10,2010,80.69,2.705,211.1764278,7.808,FALSE,1615524.71,A,151315,154,NA,NA,NA,NA,NA
19,1,6/11/10,2010,80.43,2.668,211.4560951,7.808,FALSE,1542561.09,A,151315,161,NA,NA,NA,NA,NA
20,1,6/18/10,2010,84.11,2.637,211.4537719,7.808,FALSE,1503284.06,A,151315,168,NA,NA,NA,NA,NA
21,1,6/25/10,2010,84.34,2.653,211.3386526,7.808,FALSE,1422711.6,A,151315,175,NA,NA,NA,NA,NA
22,1,7/2/10,2010,80.91,2.669,211.2235333,7.787,FALSE,1492418.14,A,151315,182,NA,NA,NA,NA,NA
